texto,rotulo
"A imagem da TV é muito boa, não tem angulo de visão nem nada. Mas o tempo de resposta dela é 25ms ou seja, tem um atraso enorme, e deixa fantasma quando joga, além de me fazer ficar tonto :/. Quem quer só para assistir ela é ótima, mas se for pra jogos, fujam dela",3
"bem interessante, recomendo. entregue antes do prazo.",3
Não recebi o produto até hoje e não devolveram meu dinheiro. A americanas já está ciente e não resolve nada.,1
A primeira vez de uso quando fui guarda o fone na caixa a espuminha saiu do fone e pra colocar no lugar leva muito tempo,1
"chegou rapido em minha casa, mais pode melhorar a forma de envio pois veio em uma caixa de papelao e, devido ao movimento do caminhao pode ocorrer dano.",5
"Ela é muito muito pequena, ela não faz 6 xícaras isso é mentira, ela faz apenas 1 xícara e meia.",1
"A colcha é bonita, cores que combinam com móveis do meu quarto, Mas, a qualidade em si do material ica a desejar - muito fraquinho, se não tiver cuidado rasga fácil.",2
gostei muito do produto gostei muito do produto gostei muito do produto,3
"Bicicleta de ótima qualidade, recomendo o produto e americanas.com.br para compras .",5
O produto veio errado o cabo que necessito e de hdmi da tv para o computador,1
"No meu moto g2 o aplicativo nao se conecta ao helicoptero, da a mensagem ""erro de ligação"" quero já devolver!",1
"Ainda não consegui fazer td q eu queria, mas produto chegou om",4
Gostei muito desse mop. É prático e fácil de usar. Recomendo!,4
Não tão forte como esperava e já quebrou. Ele veio em uma embalagem meio rudimentar.. não senti muita qualidade.,2
"Aparelho bom para o custo beneficio, recomendo a compra desse produto",3
Me fizeram cancelar a compra por extravio na transportadora e agora estão me pedindo avaliação do produto. É PIADA !!! Nem meu dinheiro até o momento me devolveram. Alo !!! Americana.com acorda ai !!! eu não comprei nada da transportadora. ,1
fazer um menino de dez anos que só quer saber de futebol gostar de química é o que esse laboratório conseguiu. Quer mais?,5
Produto conforme esperado entregue bem antes do previsto.,4
O maior console de todos os tempos! Uma perfeição para quem gosta de um gráfico top,5
"Produto maravilhoso, silenciosa e eficiente. Entregaram antes do prazo e perfeita.",5
"A cômoda é bem fabricada, porém o manual de montagem é confuso e possui erros dificultando a montagem. Faltaram alguns acessórios de montagem.",3
Comprei dia 02/12/17  e  Não  recebi a boneca até  hoje 01/01/18.,1
Eu gostaria de opinar mas não recebi e não tenho retorno da empresa. Um total descaso com o consumidor. Totalmente decepcionada!,1
Meu neto adorou o livro. Chegou em condições perfeitas. Recomendo o livro e as Lojas Americanas. Compro sempre no site das americanas,4
Bela imagem. Otimo custo beneficio. Fiquei muito contente com a qualidade do produto. Entrega rapida.,5
"Traz conhecimento aos pais que lutam por melhores dias, para seus filhos.",4
"O fone é muito Confortavel, e se encaixa perfeitamente a orelha. O produto foi entregue muito antes do previsto. Recomendo muito!!!",5
"O celular é muito bom, mas a câmera frontal deixa a desejar porque desfoca o fundo das fotos. Infelizmente pra quem deseja fazer selfies com mais pessoas a uma distância maior que 50 cm não vai conseguir.",3
Não posso nem opinar pq dei de amigo secreto então nem vi fora da embalagem.,4
"Produto de qualidade.Pontualidade na entrega,fiquei muito satisfeita.",5
Produto muito bom superou minha expectativa. Suoer recomendo.,5
A minha maquina esta travando e não estou conseguindo costurar oque faço,1
"amei,são lindas!  a variedade das cores as fazem mais bonitas",3
"Gostei muito do produto!  Recomendo, pois o preço é muito acessível!",3
"Não tenho como avaliar um produto que não recebi! Comprei a geladeira em 01/12 com previsão de entrega para 26/12 e até hoje não chegou!! Ficaram de entrar em contato em 03/01 e só me deram atenção depois que reclamei no reclame aqui, ficaram de me dar um retorno ontem 6/01 e estou esperando até agora! Vocês tem que dar um jeito de resolver a situação, já tentei contato com vocês e estou sendo paciente, mas minha paciência está no limite, preciso do produto que comprei senão não teria feito a compra, vou colocar na conta de vocês todos estes dias que estou sem geladeira aí pode ser que tenham a decência de  dar um jeito nesta situação vergonhosa.",1
"O forno a faz é extremamente  baixo...dificil de acessar,tem que sentar no chão...o forno eletrico  é pequeno. Os demais ok.",3
"meu produto está com vazamento,ligo na central para resolver ninguem atende!!",1
Esse aspirador superou todas as minhas expectativas.,5
ótimo custo beneficio. Preço bem mais barato do quem em outras lojas.,5
"Bateria aguenta até mais de um dia, a qualidade da câmera surpreendeu bastante, principalmente para filmagem.",5
Produto entregue no prazo . Produto entregue no prazo,3
"Sonho realizado ter uma cafeteira Nespresso!  Café delicioso, muito fácil limpar a cafeteira, super recomendo... entrega muito antes do prazo estipulado.",5
"Ainda não instalei, por isso fica difícil avaliar.",3
Gostei da compra a entrega foi bem antes da data prevista!!,5
"O produto chegou de acordo com o descrito, mas nenhum dog aceitou usa-lo como banheiro ainda...",3
O fogão e excelente o problema sao os botoes que com algumas semanas de uso emperram a cada semestre tem que levar p oficina,2
"uma otima capa quando se trata de proteção do aparelho, para jogar usando ela ja nao e tao bom. recomendo o produto",3
"Leve, eficaz, competente! Muitas palavras podem dizer menos! Este ferro não precisa que se diga mais que sua qualidade de ser um bom ferro de passar roupas!",4
Produto veio sem a alça com a cor de uma bochecha desbotada.,2
aparelho está tendo um ótimo desempenho daquilo que é de acordo com suas configurações! Preço baixo para um excelente aparelho!,4
"O designer é muito bonito, as funções do celular também são boas",5
"Gostei demais do produto, só não da entrega! Demorou demais orando chegas, um mês! Fogem muito do prazo, deram de 10 a 12 dias e veio chegar com um mês! Além da demora da loja enviar o produto, a transportadora se superou ainda mais... mas quanto o aparelho foi um preço bom, pq vez e outra eles diminuem o produto! Se for comprar, fiquem sempre de olho, pq as vezes eles dão um bom desconto pra quem compra no boleto! É um ótimo celular!",4
"A loja entregou com antecedência do prazo e muito bem embalado, produto original com selo.",5
Adorei o produto mto bom chegou no prazo loja seria e confiável.,4
chegou rápido e o produto é de ótima qualidade. Não fica vazando e o registro é fácil de manusear.,5
"Chegou antes do prazo e muito bem embalado. Encomendei três (azul, amarelo e verde) e vieram na mesma embalagem... Tecido leve e muito bom para levar na maternidade para facilitar a troca do bebê... :)",4
"Aparelho muito bom, impressão digital e navegação pelo mesmo botão facilita muito o uso, mas para mim, que preciso usar 2 chips de operadoras, foi ruim eu fiquei sem espaço para colocar o cartão de memoria externa, para quem precisa deste aumento de memoria é muito ruim, pois o aparelho tem 32gb de memoria interna e normalmente eu utilizava em outro aparelho um cartão com mais 32gb de memoria para armazenar fotos e vídeos e deixava a memoria interna para aplicativos,  só que neste aparelho só tem espaço para 1 chip e 1 cartão de memoria ou você coloca 2 chips e não coloca o cartão de memoria externa. Nesse quesito a Motorola errou feio.",3
"ótima qualidade e entregue antes do prazo, panelas bonitas e delicadas!!!!!!!",4
"Quando vi o preço achei até que seria Black Friday,e vim correndo conferir,depois vi que nao era promoção e sim preço!",5
Nunca tive problemas com a americana esse foi o primeiro espero que se resolva o mas rápido possível se não vou tomar outras medidas.,1
"Estou decepcionada com a lojas americanas, comprei o presente de natal da minha filha e até hoje não chegou e não recebi nenhuma satisfação em relação a data da entrega do produto.",1
"bom produto,ainda que faltam algumas opções pra agilizar as operações.....",3
"Minha opinião é sobre entrega do produto, paguei taxa de entrega e tive que ir buscar no correio! Pra ajudar deixaram no correio muito distante da minha casa sendo que próximo a minha residência tem 3 correios!!! Sendo assim fico insatisfeita com a entrega ! Pensarei duas vezes antes de comprar pela internet por conta disso!",3
"Produto ótimo, preço bom a entrega feita pela terceirizada do produto deixa a desejar.",4
"Produto maravilhoso, entrega mt antes do prazo,qd o produto é comprado pela americanas e entregue pela americanas É ótimo ,nota mil",4
Eu comprei para dar de presente no Natal. Infelizmente chegou alguns dias depois e só pude entregar quando já tinha se passado uma semana.  O produto simplesmente não funciona 100%. O click do mouse as vezes não responde e em outras apaga a luz deixando de responder.  Enviei para o suporte da empresa e estou aguardando resposta.,1
"Eu bati o olho e falei: Quero. Preço de banana e um copo lindo desses, bicho.",5
"até o momento eu aprovo o produto, presente de aniversario pra minha sobrinha que fez 7 anos, tem o modo infantil que é otimo para o desenvolvimento dessa faixa etaria.",3
"Ótimo produto só que muito difícil de encontrar nas lojas convencionais ,entrega muito rápida",5
Muito bom. Entrega rápida e eficaz. Muito descomplicado. Adorei.,4
Ótimo para limpeza e pratico.Recomendo para limpeza em geral.Facil de usar .,5
"Produto muito bom, imagem excelente. Ótimo para pequenos ambientes.",5
O PRODUTO AINDA NÃO CHEGOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
Prática e de ótima qualidade! Atendimento da loja lcg eletro nota 10! Super recomendo,5
"o celular veio bloqueado, perdi 2 dias atrás de solução. Agora está na assistência técnica Samsung para ver se é possível desbloquear.",1
Notebook 2 em 1 Compaq Presario CQ360 Intel Dual Core 4GB 500GB Tela 11 Windowns 10 Touch - Branco é excelente. Veio no prazo combinado pela loja.,4
"pratica para usar e chegou bem rápido, uma semana, isto que era semana do natal.",3
"o material é bom e forte, funciona direitinho, chegou bem rapido.",3
Não é como o BO2 mais é bem divertido! Gostei do som e dos gráficos!,4
O q faltou no produto: Informações sobre o tipo de parafusos para fixação da base e acabamento no pés da base,4
"Gostaria que o manual fosse mais claro no ato que foi instalado o aparelho funcional normalmente só não sei o porque que ficou uma faixa escura tanta na parte inferior e superior. sendo que o aparelho e com conversor deveria abrir a tela inteira, independente o canal. estou pesquisando ou contratar o técnico pra tentar sanar o problema.",4
Recomendo pois o produto é muito bom.  Chegou antes do prazo dado pela loja e em perfeito estado.,5
As lojas Americanas nunca falhou comigo.  Sempre recomenda as pessoas que conheço.,4
"Espaço interno muito bom, excelente acabamento. Ótimo custo benefício.",5
Tem um preço bom e atente as minhas necessidade e eu gostei,5
Parabens pelo produto. Muito muito  barato . veste muito bem. Minha esposa aprovou e pediu mais. Tecido muito bom e confortavel,5
O produto e excelente  e eu recondo o meu neto amou,5
Produto recusado porque chegou só depois do Natal.,1
"Comprei a torneira Gourmet com filtro no site da americanas dia 23/ Dezembro paguei frete pra que fosse entregue na minha residência, pois assim que coloquei o CP nada diziam se era área de risco paguei o frete dia dia 27/ Dezembro às 15:28 transferência entre as filias da transportadora o mesmo as 17:30 ontem dia 04/ Dezembro  E-mail retirar nos correios falta de respeito com cliente que paga frete e no fim não tem seu produto entregue a domicílio tive que retirar nos correios que nem próximo da minha casa era. NÃO INDICO Sra. Americanas parabéns com compromisso que vem tendo com seus clientes.",1
"Entrega muito rápida, produto de excelente qualidade, superou minhas expectativas.",5
Parece original veio com os lacres e tudo certo.entregou até rápido por ser final de ano.,4
"Smart lindo, leve, elegante, roda jogos com excelentes gráficos. Nada a reclamar até o momento!",5
"gostei, são bonitas, atendeu minhas expectativas, recomendo",4
"Comprei de presente para minha filha. O notebook liga mas não carrega e fica o tempo todo com uma mensagem de atualização. Como moro um pouco distante dela, não tive a oportunidade de encontrá-la.",1
Este produto tem uma caixinha com o visual maravilhoso.,5
Não gostei do acabamento. Veio suja e com um dos pés faltando é outro com defeito.,2
"ótimo produto, chegou no tempo previsto e estou muito satisfeito.",5
"justo pelo preço macio nao tão peludo, satisfeito.",3
Um excelente aparelho. Som para ouvir bem alto e claro.Recomendo.,5
"Tecido sintético, fácil de lavar e secar e muito durável",4
"Eu Comprei para minha filha, ela gostou o único defeito é que atualiza o tempo todo, mais para estudos e pesquisas escolares ele é bom. Pelo preço devia ter mais qualidade.",3
"Ñão posso avaliar pois não recebi nada, total falta de respeito com o consumidor.",1
"PRODUTO FÁCIL DE MONTAR E USAR, PRÁTICO E EFICIENTE. AGILIZA BEM NAS LIMPEZAS DIÁRIAS.",5
"comprei e não funciona, solicitei a troca e ainda não fui atendida",1
"Fio curto demais. Pra piorar, no anúncio do produto faltaram as características do aparelho. Se soubesse como era de verdade, não teria adquirido.",1
O produto superou as expectativas minha neta adorou brincar com a cozinha,5
"Gostei do produto porém não chegou na noite para o Papai Noel entregar para meu filho :( Chegou no dia 26 as 13:30 mais ou menos. Mas tudo bem, o produto chegou em boas condições. Agradeço, Viviane Paiva.",3
Criado mudo excelente muitas gavetas . Muito bonito e entregue dentro do prazo.,5
"Recomendo para rede lojas Americanas, ótimo vendedor",5
Não recebi o produto e não resolveram ainda meu problema,1
"Desde o dia que recebi até hoje não posso usar a cadeira,pois vieram faltando peças para a montagem. Entrei em contato com um telefone que veio, no mesmo dia que recebi a cadeira e até agora nada das peças. Ou seja um trambolho na minha sala sem eu poder usar.",1
Embora pequeno tem boa aparência e funcionalidade.,3
"otimo aparelho, otimo,  custo x beneficio, entrega rápida bem antes do prazo, recomendo o aparelho e a loja!",4
"Produto de ótima qualidade e muito prático! Recomendo, nota 10",5
A câmara não presta. Fotos pessimas. Não tem flash. Vídeos péssimos.  Não vale o preço.,1
"Não tive nenhum problema com a entrega. Chegou dentro do prazo, inclusive foi muito rápido.",5
Ótimo custo beneficio. Tamanho ideal. Silenciosa. Mantém a temperatura,4
"produto excelente, recomendo chegou antes da data marcada",5
"Produto original, veio bem embalado e rápido, recomendo.",4
"Panelas são bonitinhas porém pequenas e qualidade ruim, pintura mal acabada e o anti aderente também.",2
"Fiquei satisfeito com a compra, bom produto e entrega antes do prazo previsto.",4
Até então estou muito satisfeito. Carregou meu J5 bem rápido. Aguardo para ver se ela não vicia a carga muito rápido.,5
foi muito bom ter conhecido e confiado nas lojas amerianas.,5
"O produto é bom, porem  não tive uma boa impressão de cara, pois não vem com nenhum folheto explicativo. Também não gostei de saber em cima da hora que teria que busca-lo nos correios, pois paguei para ser entregue em minha residência. Recebi na data marca pela distribuidora.",3
Amei o produto e o tempo da entrega. Parabéns a todos os envolvidos,5
"Ela é muito boa, recomendo, todos que estão na dúvida se compram ou não podem comprar pois não irão se arrepender.",5
"Sem dúvida uma evolução nos brinquedos, já vem com o Jarvis incluso e Android 7.1",5
Produto bem infantil ... Fornece pequena proteção a criança por ser de plastico e nao se moldar adequadamente ao corpo. O capacete tem uma película de plastico mole distante do isopor do capacete. Por isso veio com um rasgo pequeno como se alguma coisa tivesse feito pressão e furado. Nao devolvi por não ter tempo hábil para adquirir outro antes do natal.,2
"O produto chegou antes do prazo previsto, o rastreamento pelos canais virtuais foi de fácil acesso, o produto superou minhas expectativas, recomendo o produto a todos e o custo benefício é um atrativo que faz toda diferença.  #americanas_is_the_best ;-)",5
"Exatamente como desejava. Rapidez na navegação, as fotos são bem nítidas o único problema foi encontrar acessórios.",5
"Muito bom, sensacional pena que demorou a chegar mais o produto recompensa o tempo.",5
Como posso avaliar um produto que até hoje não chegou na minha casa? Muitos dias de atraso e nenhuma comunicação por parte da empresa me fazem ter a certeza de que nunca mais comprarei nada aqui. Péssimo!,1
"Boa tarde! Infelizmente eu me enganei quanto ao pedido. Gostaria de ter pego uma mochila com reservatório de água para andar de bike e acabei me confundindo com o volume da mochila. Espero que façam a troca, pois já fiz a requisição.",4
gostei  do  travesseiro  muito bom eu  recomendo  as  outras  pessoas   que quiserem adquirir,3
"Além da boa qualidade do produto, destaco o cumprimento do prazo de entrega. Foi entregue com uma semana de antecedência do prazo inicial. Parabéns!",5
oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,3
"O produto não agradou. Imagem não nítida, foco não ajusta em nenhuma hipótese, quando amplia a imagem fica mais desfocada. Realizei a devolução do produto.",1
"BOM DIA,   Conforme orientação da Sra. Celia(11) 964184081, no dia 05/01/2018, enviamos foto do produto no dia 05/01/2018 e aguardo a TROCA do produto o mais URGENTE possível, enviei foto do produto para News@mkt.americanas.com.. AGUARDO SOLUÇÃO O MAIS BREVE POSSÍVEL A criança está sem entender porque não pode brincar...  obrigada",1
"O produto chegou antes do prazo. Estava marcado para chegar até o dia 12/01/2018 e chegou dia 08/01/2018, fiquei contente pois chegou quatro dias depois de minha compra, agora é só tomar e esperar os resultados.",3
"Excelente o produto chegou bem antes do combinado, chegou em perfeito estado. Recomendo.",5
Não posso avaliar algo que comprei e nunca recebi. Não recebi e nem tive meu dinheiro devolvido. Não recomendo a loja: comprar em outros lugares ou em lojas físicas trás menos transtornos.,1
"Recomendo esse brinquedo,  ótimo para o filho usar a imaginação.",5
Uma obra fundamental para compreender a relação de Kelsen com a justiça.,5
"Produto bom, recomendo. Não vou mais avaliar porque dizem que o texto é curto",4
"Olá, gostei muito do produto e recebi o mesmo no prazo correto, novinho em folha e o melhor, com um preço bem acessível!!!  Não está atualizado, mas já dá para ter um base das principais leis na educação infantil.",5
"Comprei este produto e ele definitivamente não protege nada, é transparente mesmo, então não comprem, melhor usar uma fralda pendurada na janela.",1
"Comprei o produto como presente  de final de ano ,era pra ser entregue até dia 28 ,porem até o momento não sei nada do produto",2
Produto excelente Somente as pilhas do vibrador caras,5
Super recomendo!!! Minha filha amou o tablet!! Podem comprar.,4
"Produto ruim ... não dissolve totalmente ... a entrega pessima... atraso mais de 10 dias ... e sem nenhuma explicação plausível sobre o ocorrido ... Nota 0 para o produto, 0 para a americanas, 0 para o parceiro e 0 p entrega ... não merecia nenhuma estrela",1
O andador superou minhas expectativas. Material leve e resistente.  Recomendo!,4
Boa Tarde Eu ainda não recebi o produto por isso não posso avaliar Continuo esperando,1
Relógio Unissex Casio Analógico/Digital AQ-230GA-9BMQ,4
"Pra quem conhece o Universo Cinematográfico da Marvel, sabe que os filmes são bons.  E a entrega da americanas.com é melhor ainda. mto rapido!",5
"Paguei o boleto dia 18/12/2017 à vista e atá hoje dia 05/01/2017 ainda não recebi o que paguei... Já recebi varias ligações da loja e da transportadora Directlog e nenhuma das promessas se concretizaram... Tirei 2 dias de folga do trabalho para poder esperar em casa o produto nos dias prometidos por ""telefone"" e nada.. Agora vou trabalhar fim de semana para compensar esses dias folguei do trabalho, realmente uma decepção e uma péssima experiência de compra online, agora é buscar meus diretos na justiça. Aconselho a avaliar melhor do que eu antes de firma compra na site, pois eu não consigo mais confiar na loja.",1
"Produto excelente. Ficou muito bom. meu marido diz que é confortavel e veste bem. Entrega muito rapida,preço muito bom. Ja lavei e continua igual. Parabens",5
"Excepcional produto da Samsung além de ser uma bateria novíssima e original,recomendo a todos que precisarem de uma bateria de alta qualidade para esse mesmo celular sem contar a rapidez da entrega do produto que foi de apenas cinco dias.",5
"Comprei ele, gastei com chip, recarga e nao funcionou. Fica com a luz acesa e nao reconhece o chip. Ligo e só da na caixa postal. Nao funciona. Decepcionado.",1
"Ótimo em tudo, tanto no produto que comprei quanto na entrega do mesmo, chegou até antes do prazo.",5
"Chegou rápido, muito bem embalado e sem nenhum problema.",4
"Bem bolado este kit da construção. Pensei que fosse maior os carrinhos, mas ainda assim eu gostei.",3
Feliz com o atendimento. Produto entregue conforme contato do fornecedor.,3
"Aparelho muito bom, as fotos ficam maravilhosas mas o problema é usar um chip somente.",3
"Chegou muito rápido, jogo muito bom recomendadíssimo!",5
Realmente atingiu os objetivos propostos. Muito bom .,4
Produto que oferece ótimo desempenho e já vem formatado pra receber arquivos de vídeo acima de 4 GB.,4
"adorei! as bebidas sao deliciosas, e a maquina é super rapida. bebida sai bem cremosa",5
"Na apresentação o preço ta 1.322,04 e quando entro no site ta 1.699,00",3
"Produto de qualidade boa, tamanha adequado, recomentdo",3
"Excelente produto. ""Roda"" bem a Netflix, por exemplo.  Entrega antes do prazo.",5
Olha demorei pra comprar mas agora não da pra ficar sem ela......,5
Gostei sim do tênis Mizuno pena que ficou apertado no meu pé só usei uma vez fiquei triste por que apertou o peito do pé,3
Eu não consigo desligar no celular só desliga na tomada e complicado eu acho que deveria ter mais explicação  como usar o aparelho.,3
"Adquiri um otimto produto por um preço bem em conta, estive por um tempo pesquisando por um secador de cabelo de uma marca boa e com um preço em conta... Mais minhas pesquisas logo se encerraram qdo encontrei este Secador de Cabelos Ph3700 PinK PHILCO é um excelente produto. Um carinho especial para os meus cachos...Eles e eu mereço o melhor!rsrsr",5
"uma das portas veio amassada, e foi um amassado grande, fora isso tudo ok. só não dei a nota exelente por causa desse inconveniente.",4
Chegou bem antes do prazo estipulado... Muito bom!,5
"Comprei uma bomba para uma altura de 1 m, porém a minha altura é de 2 m. Pensei que. como precisava um fluxo bem pequeno, a dita cuja serviria.   Vou usuá - la em um aquário que irei construir.  Por favor, podem enviar - me enviar uma que eleve dois metros.",3
Perfeito compra ótima sie maravilhoso entrega rápida e tudo certinho ameiiii,5
"Minha mãe que comprou pra ela. Está gostando muito.A memória é grande cabendo todos os ""flashes "" dela e todas as ""pérolas"" musicais rsrs.",4
"Boneca totalmente diferente da que aperece na foto. O cabelo parece um material usado para enchimento, não sei bem dizer o que é mas tem as falhas e não se parece nada com cabelo. É uma boneca normal, como essas que encontramos em qualquer loja de brinquedos pelo preço bem mais em conta. Fiquei com vergonha de dar essa boneca de presente para minha filha. Informei a loja que o produto chegou avariado, com manchas pelo rosto e corpo, devido ter vindo embrulhada em papel crepom. Não obtive resposta da loja, descaso total com o cliente.",1
"Sim, celular lindo. Gostei muito. Preço excelente! Entrega sem demora.",4
faz o que promete... bom desempenho para aplicações diárias e jogos com bons gráficos.,4
"No anuncio muito bonito, mas na realidade qualidade bem inferior pelo preço não vale a pena.",1
"Produto de ótima qualidade, a duração da bateria é incrível!",5
"Muito boa a apresentação do livro. Interessante fazer um ""diário"" por 5 anos... ver as mudanças que passamos...",5
Produto adquirido conf. noticiado no site e entregue com antecipação...,4
"Fiz a compra do produto no ano passado, desde então estou no aguardo. Obtive retorno informando que realmente houve um problema no fornecedor e que eu deveria aguardar. Estou no aguardo desde então. Mas como muito receio de que passado o prazo dado (02/02) eles me informem que o produto não foi possível enviar.",1
Quando chegouu achei que o som era baixinha pq é tá pequeno mas me surpreendeu.,3
"Nota 10 para o produto.Atendeu as expectativa, Américas.com como sempre entrega no prazo.",5
Comprei uma peça e chegou outro conjunto chegou foi um conjunto de taça pra sobremesa,1
"Galera, só pra ficar avisado, essa máquina é realmente boa, no entanto somente pra quem quer passar a zero. Tenho ela faz uns quase 3 anos, uso frequentemente pra raspar a cabeça e me serve muito bem. No entanto, usar o pente dela é bem chato. Acumula muito cabelo e não corta uniformemente. Muito mal projetado. Ou seja, SÓ COMPRE SE NÃO FOR PRECISAR USAR O PENTE.",5
"Amei esse produto, muito bom, deixa a pele dos pés super macia,recomendo.",5
"Estou super satisfeito com o produto , qualidade e confiança.",5
"É um celular grande, rápido e com muita memória. Na minha opinião, possui muitas vantagens quando comparado com outros na mesma faixa de preço.",4
Tive problema no prazo de entrega . Mas chegou. Com uma ruim mas veio. É achei que fossem mais fortes,3
"Achei maravilhoso, super potente, agora vamos ver a conta de luz quando chegar,kkkkk e tb achei muito confortável o manuseio a posição não é cansativo que nem outros que ja tive de outras marcas, adorei, super recomento.",5
"Excelente promoção, por esse preço você levaria somente o canudo, nessa promoção o copo vai grátis!",5
"Gostei muito do produto, boa qualidade e muito bonita.",4
Fica muito bonito e o preço um dos melhores do mercado! Atendimento da loja lcg eletro nota 10!,5
Ótimo custo benefício Americanas arrasando na entrega,4
Entrega antes do prazo estipulado. Excelente produto!,5
"A piscina é linda realmente,""minha filha amou"", porém ,produto muito frágil,usamos  2 vezes e já se acabou, frustante demais para criança!",1
"o Produto atende as expectativas, bem como sua funcionalidade.",5
