texto,rotulo
"....Walita Master Pro era modelo anterior, funciona ate hoje,robusto e mais silencio porem pouco menos pratico em relação ao atual.,natural evolução !!! Mas ""Excelente"" produto a mais dez anos sem nenhuma manutenção. Comprei um mais atualizado e pratico ao uso dos acessórios,porem Barulhento..fica ai a dica para posterior melhorias,qto a trituração dos alimentos no liquidificador a granulação e maior ao anterior.devido o novo designer das laminas. Enfim um ""Bom"" produto ..ha pontos a ser aprimorados para atingir a Excelência.",3
"Houve atraso na entrega, mas fui prontamente atendida pelos fornecedores e pude retirá-lo nos correios.",4
"Bom produto e boa entrega, chegou antes da prazo definido",4
"Uma maquina recomendado para trabalhos leves. Ajuda bastante no dia-dia e, é ótimo para iniciantes, recomendo.",3
Produto de qualidade. Prático. Para quem precisa se organizar.,5
"O produto veio quebrado, mandei de volta há mais de um mês e não tive retorno nenhum, nem do vendedor e nem da Americanas, que na minha opinião é quem anuncia em sua página e deveria dar pelo menos uma satisfação aos clientes, pelo telefone ninguém sabe de nada, não recomendo e nunca mais compro nesse site.",1
"o produto deveria ser testado antes do envio,pois o meu ja veio com defeito.",1
Vcs pedem atualização da avaliação e não fazem nada. Devolvam o dinheiro e a taxa de transporte.,1
"Celular muito bom, chegou tudo certo sem problemas e chegou antes do prazo estipulado.",3
Tudo ok Conforme anunciado. Tudo ok Conforme anunciado,3
"Tem uma ou outra loja que é uma piada (sempre uma delas está envolvida, mas prefiro não citar nomes) . Não sei como as lojas americanas conseguem fazer negócios com essa empresa(s) . Coloca o preço dos produtos muito mais baixo que o normal e depois aumenta absurdamente o frete. A média dos fretes das lojas sendo entre 7 e 20 reais, e ela chega a aumentar até para 57 reais (em relação à lojas de mesma localidade).",4
ESTOU COMPLEMENTE INSATISFEITO COM A LOJA AMERICANAS NÃO RECEBI MEU PRODUTO!!!!!!!!!!,1
"Bom produto, cumpre o que promete. Seria melhor de fosse HD FULL. Recomendo",4
Melhor copo que já usei em toda a minha vida!!!! Incrível como cabem 500 ml. Além de barato eles dividem em até 10 vezes!!!!,5
"Excelente compra... Fiquei com medo de comprar por não achar nenhuma avaliação, resolvi arriscar. Ótimo produto, tamanho ideal, super confortável e leve.  Recomendo esse carrinho com toda certeza.",5
"Como pedem minha avaliação se não recebi o produto e fui informada que o mesmo foi extraviado e que não teria outro em estoque? O estranho é que o produto está disponível, até o momento, no site!!!  Mas ao menos meu dinheiro foi devolvido, o que comprova a honestidade das Lojas Americanas.",2
Quase 2mil reais num copo? preço absurdo                                                                         .,1
"Palhaçada vou guardar todos esses e-mails, para processar a americanas pela enganação, avaliar um produto sequer eu recebi, falta de respeito com cliente, até hoje espero uma posição do meu produto, aliás já estou pagando a fatura sem ter o produto, bando de irresponsável que fazem tudo ao contrário que prometem, vou no PROCON e processar americanas por danos, era presente de aniversário!",1
"Um excelente produto, muito bom os benefícios para o corpo!",4
O objetivo de obter uma fina camada de azeite foi atingido com esse spray.,5
"vejam bem, e um produto com uma estética bom, para uma criança as a conforte nem um no produto...",2
"Não deixa a dever em nada no que se propõe. Bom processador, abre os aplicativos rapidamente. Bateria duravel. Vem com excelentes recursos desenvolvidos pela Asus. Dei um para minha esposa. Gostei tanto que comprei um pra mim. Lojas Americanas sempre entrega antes do prazo. Tem nome, é confiável e entrega produtos de qualidade.",5
"O assento poderia ser mais macio, tal como o encosto que é bem confortável. Com o uso talvez fique mais moldável e aconchegante, vou esperar para ver. O couro parece ser de boa qualidade e verm com a etiqueta de garantia que assegura a sua autenticidade.",4
"Ótimo produto, funciona muito bem, eu recomendaria.",4
O produto é resistente. Bem bolado e interessante.,3
"Jogo muito divertido, chegou tudo certinho e chegou antes do prazo de entrega, gostei muito.",5
"Excelente produto, fácil instalação. Deixa a água com gosto maravilhoso.",5
"Produto muito bom, smartphone que cumpre as necessidades. Sem muitas funções, mas com o essencial. Recomendo para quem quer economizar e investir em um produto de qualidade.",4
o modelo muito bonito.porem  veio com defeito. vazando agua,2
"deveria ter uma trava pra o copo, que apenas é so colocar. muito fraco!",2
Muito ruim.nao gostei.meu sobrinho ficou super ansioso o jogo chegou e não instala de forma nenhuma já trocamos o pen drive já tentamos de tudo.frustrante,1
"Excelente custo beneficio, Com esse preço dei pra minha família toda...recomendo",1
"Um baita descaso, estava programado para chegar no dia 22, pois comprei justamente para presentear no Natal, a empresa demorou vários dias para postar até imagino que vão dizer que a culpa é dos correios, não compro mais da americanas, não recomendo nem pra inimigo! Estou muito insatisfeito!",1
Não entregaram o produto e até agora não recebi resposta da restituição do pagamento.  Péssimo para mim e possivelmente para Americanas.,1
"Boa tarde. Estou insatisfeita com o aparelho, o mesmo está apresentando problemas na câmera frontal, na verdade a câmera está travada e não há o que fazer.  Quero trocar o produto.",1
Amei ... Excelente compra... Podem comprar ...aprovado... Veio td certinho e completo,4
"Gostei das tintas são muito boas, vou usa elas agora",4
"O produto é bom, mas um dos espelhos veio quebrado",3
"Satisfaz  todas as expectativas, ótimo aparelho, recomendo com certeza.",4
Está atendendo muto bem o produto permitindo uma ótima qualidade de vida e saúde.,4
"Eu não recebi a boneca LOL, por isso não tem como avaliá-la",1
Não me entregou no prazo previsto.estou aguardando até agora!!pagar 220$ de frete e não chegar no prazo..,2
"O produto vem uma ótima quantidade,dura por um bom tempo e faz o que promete.",4
Não veio na caixa do produto original e veio com uma caixa bem velha e não veio manual. Ainda não testei o produto.,2
Chegou antes do prazo... Produto completo em excelentes condições,4
O prazo vencerá dia 10/01 e nota  fiscal sequer foi emitida. Estou muito preocupado se vai chegar no prazo.,1
"O produto tem um tamanho bom que atende a idade de 3 anos. Foi bem embalado, e chegou antes da data prevista",3
Entrega dentro do prazo.  Produto dentro do esperado.,3
"Excelente aparelho e a Americanas sempre  de parabéns, entrega antes do previsto.",5
"Produto ótimo, cumpre muito bem todas funções. A entrega foi realizada dentro do prazo.",5
"Não me atentei no tamanho do colchão, ficou pequeno na cama, mais a qualidade é muito boa.",4
A unidade remota não funciona. Produto inútil. Quero devolvê-lo.,1
O barulho do motor é alto demais! Existem concorrentes com motores muito mais silenciosos.,3
"O produto é bonito e do jeito que aparece na foto. Até hoje usei sem problemas, mas nunca as duas bocas ao mesmo tempo até hoje. Hoje liguei ambas bocas no máximo e ficou fazendo um som estranho. Espero que nao dê problemas. Fora isso é um pouco bambo, daí uso um calço de papelão. O antigo que tinha de outra marca também era um pouco bambo e usava o mesmo calço.",3
excelente produto. ótimo preço. entrega no prazo acordado.,5
O produto chegou dentro do prazo e corresponde a descrição. Estou usando faz 3 semanas e até agora tem funcionado muito bem.,4
A batata fica uma delícia vale a pena compra e ter uma vida saudável,4
"Maravilhosa, simplesmente! Imagem, cor, som perfeitos! Muito fácil de navegar e concluir a instalação!",5
"O produto é até bom, mas a foi pessíma no atendimento da entrega, demorou muito. Entaõ a minha nota é 1, Não recomendo o site da Lojas Americanas, pois não tive suporte da parte dele",2
"Muito fácil de instalar, muito fácil de navegar! Apaixonei!",5
"O produto se encontra atrasado demais, era para ter chegado a minha residência dia 26 de Dezembro, mas ate o momento nada, tento entrar em contato com a americanas e não obtenho resposta, falta de respeito com o consumidor, cuidado com essas empresas terceirizada que está trabalhando em conjunto, tudo uma porcaria.",1
"Produto bom para o custo benefício, chegou no prazo.",3
"Produto fofo e de boa qualidade, recomendo, chegou no prazo",4
"Atendeu a todas às minhas necessidades, precisava mesmo do produto e recomendo o mesmo a qualquer pessoa. Excelente produto! Amei!!!",5
"Ainda não testei o produto pois aguardo a HD chegar. Montei uma outra igual uns dias atrás e funciona muito bem, a unica coisa que acho ruim é o cabo que utiliza para comunicação que é usb macho - usb macho, fora de padrão que seria miniusb-usbmacho e o padrão novo de usb 3.0. Fora esse detalhe, vai de boa.",3
O forno microondas tem atendido é muito minhas necessidades,3
Ele é exatamente como está na foto. A única coisa que não gostei é que não é forrado atrás. Mas a durabilidade superou minhas espectativas. Pratico natação e ele é bem confortável e de boa qualidade.,4
Tudo certo chegou antes do combinado embalagem original tudo funcionando perfeitamente recomendo essa loja,4
"Comprei o jogo de malas dia 26.11.16 . No aeroporto pecas foram se soltando das malas e no retorno uma das malas voltou sem rodinha. Sao bonitas, pequenas e de má qualidade.",1
O tapete é lindo. Gostaria apenas que fosse um pouco mais grosso. Mas deu um ar maravilhoso no ambiente.,4
"Estava procurando um aparelho pro meu dia dia e que desse pra usar no meu trabalho, daí entrei no site da loja e vi esse aparelho e os bons cometários e avaliações sobre ele, então decidi fazer um teste, não me decepcionei com o produto vale a pena, recomendo!",4
"Ja paguei e o produto nao chega. E pior, o atendimento me deu mil datas pra retorno e ate agora NADA. NAO ENTREGAM, NAO COMPREM!!!",1
"Produto de péssima qualidade, me arrependi muito de ter comprado, nem meu neto de 3 anos gostou. Nada funciona bem.",1
"Boa relação custo benefício. Esquenta bem, desliza fácil pelos cabelos, tendo um bom resultado.",3
"Foi bom comprar na Americanas, produto chegou e estava a contento.",4
"Com muita pesquisa, analise do Zoom, Buscapé, achei aqui com o melhor preço. Valeu o rim que eu vendi para adquiri-lo",3
Nao vale nada nao recomendo windows phone nao presta,1
"muito rápido ,ótima resolução das câmeras frontal e traseira.  Ótimo designer.",5
"O produto é muito bonito, mas achei fraco demais!!! Não venta nada",2
"Comprei a base já faz 1 mês, o pagamento foi aprovado e até agora o produto não foi entregue a transportadora, tento passar e-mail pra que possam me explicar o que houve e nem sequer respondem. Comprei um colchão no mesmo tempo e com um prazo de entrega maior e recebi antes do natal. Não posso falar nada sobre o produto, pois ainda não pude usar, graças ao péssimo serviço prestado ao consumidor.",1
"Aparelho com belo design, a ótimo desempenho. Processador super rápido e câmera ótima",5
Desempenho muito bom. Bateria com boa duração e carregamento.,5
"ótimo produto, entrega super rapido e preço exelente",5
intalei o filtro  no ponto de agua da sabesp pois o mesmo nao tiro o cheiro da agua comprei gato por lebre tb olha o preço,2
Excelente produto! Realiza as funções corretamente.,5
chegou bem antes da data prevista e em prefeitas condições.,5
"Bom, completo e resistente. Ótimo custo benefício.",4
"O produto estava em ordem porem, não estava embalado e tinha sido aberto por baixo da caixa. Como dei de presente de aniversário tive que tirar da caixa que estava danificada. Não esperava esta atitude desta loja.",5
Não gostei. Não é para crianças.  Erótico. Adulto. Lésbico. Tabu sendo quebrado a força.  Realmente as história serão ERA UMA VEZ mesmo rsrs. Mas que seria de nós se um sapo ou príncipe não tivesse encontrado sua princesa um dia?  Estaríamos aqui. ....não. ..simples assim. Opinião minha. Fiquem à vontade.,1
"sem comentários. o produto por si só dispensa qualquer comentários,",5
"O produto foi o que eu esperava para uso do dia a dia, pois como vi diversos comentários os 3L da tigela talvez seja pouco para alguns tipos de receitas. Mas ela funcionou direito, não saiu do lugar quando estava em funcionamento. E a cor para mim não poderia ser outra, rsrsrs. A entrega do produto também foi rápida, em torno de uma semana.",4
"Produto muito bom,superou as expectativas mesmo parabéns",5
Comprei uma bateria ¨ORIGINAL¨ porque já havia comprado uma de Camelô que não segurava carga como a original que veio no telefone e durou bacana por um ano. Esse que comprei de vocês é tão ruim quanto a do camelô não segura carga como a original de fabrica e que é pior! tem preço de original de fabrica. Como eu me dei mal comprando uma porcaria dessas por um preço absurdo. Péssima compra e não vou recomendar a ninguém comprar baterias ou similares de vocês.,1
Produto de qualidade com ótimo preço! Adorei a promoção deste copo Rocie!,5
O produto não funciona nem de longe como o esperado. Umas das piores compras de 2017. Não compre este produto por qualquer valor que seja.,1
"Parece brincadeira cada copo a 1.994,20!!! Estava esperando essa promoção a muito tempo! Agora sim posso presentear meus familiares! *-----*",5
"O produto é ótimo para limpeza, depois da compra, dificilmente uso pano de chão. Só que o cabo desse é muito frágil e curto, não sou tão alto e pra mim é bem ruim usar porque preciso ficar um pouco abaixado.",2
Como sempre a americanas está de parabéns Obrigado,5
"Super recomendo, comprei sem precisar parcelar, preço acessível e produto impecável.",5
"Ótimo produto, original e chegou rápido. Não houve problemas nenhum.",5
Entregou antes do prazo e o produto Apple dispensa comentários.,5
Responsabilizo a Samsung pelo produto defeituoso. Com 2 dias de uso a tela e o microfone estragaram e foram trocados em garantia pela autorizada. Porém após 1 semana a tela voltou a apresentar o mesmo problema.  Vou levar na assistência autorizada mais uma vez para ver qual a posição deles.,1
"Produto bom, preço bom a entrega feita pela terceirizada do produto deixa a desejar.",3
Não gosteido produto esperava outras coisa pelo valor pós demora muito pra assar toda hora se desligar.por isso que demora muito,2
"Sensor de presença de baixo alcance, funciona apenas se estiver bem perto do aparelho e fazer muitos movimentos. Não atendeu minha necessidade. Não recomendo!",1
Tive problemas na entrega produto veio com vidros quebrados e ate agora nenhuma resolução do problema,1
"A máscara é muito boa no quesito hidratação. Deixa os cabelos sedosos e com movimento, sem pesar os fios. De bônus ainda dá uma leve corrigida no amarelo dos cabelos loiros (sou loira e deixou a cor do meu cabelo maravilhosa). O único ponto negativo é que acredito que ela não seja tão potente para cabelos muito danificados.",4
Só uso para tomar wisky 90 anos sem gelo. Comprei 18.,5
"Chegou sob perfeita condição, funciona direitinho....superou expectativas!",5
"Vendo meu celular, minha televisão e geladeira e mais uma grana que havia economizado para adquirir este maravilhoso copo!!!  Estou mais do que satisfeito.",4
"Comprei o produto e este chegou no prazo, porém veio com o tamanho do produto divergente ao da embalagem, na embalagem diz que o produto tem o tamanho ""G"", enquanto o produto em si, tem o tamanho ""M""; Entrei em contato com a Americanas (site que comprei o produto), cheguei a receber o 1º correio da empresa falando que no próximo receberia as informações para providenciar a troca ou o reembolso, porém parou por aí. Não recebi o comunicado de como proceder e nem o reembolso do produto problemático. Sinto que fui lesado e enganado nesta compra",1
"Quando vi essa promoção nem acreditei, achei que tinha até algum defeito nesse lote do produto, mas decidi arriscar e amei!! Depois comprei mais 10 pra presentear a família toda, não é todo dia que a gente vê uma oportunidade dessas...",5
"Não posso avaliar esse produto pq ainda não recebi, ainda não foi entregue! Não esperava que fosse demorar tanto assim.",2
"Recomendo , chegou antes do prazo, em perfeito estado, Americanas mais uma vez respondendo com as minhas expectativas.",5
"O produto tem uma qualidade boa, não esperava mais pelo preço que paguei",3
Recomendaria o produto sim; só houve problema no prazo da entrega...,4
"O material é razoável e as instruções de montagem não são claras. Não contém peças para adaptar tv de 32 da Samsung, conjunto muito ruim. Talvez funcione em outros tamanhos e marcas.",2
Bom já paguei produto não recebi produto muita falta de vergonha e pior qui n dão satisfação sobre produto mais amanhã estou indo no Procon pra resolver essa falta de respeito com consumido meu filho todo dia pergunta pela cama papai cá de minha cama da patrulha canina eu fico com cara be besta sem saber qui responder pra ele a loja n si manifestar pra resolver problema vo corre atras pra resolver,1
"Excelente fragmentadora de papel.  Respeitando o limite de 14 páginas, ela aguenta o tranco, picotando muito papel.",5
"Um ótimo produto. Os alimentos ficam realmente fritos e sem precisar de óleo, ou seja, é mais saudável. Com ele a pessoa gasta mais energia elétrica, porém menos gás.",4
"Copo excelente, vale cada centavo, por isso é recomendável comprar enquanto está na promoção (pela bagatela de 2 mil reais) porque depois tu só compra vendendo os seus bitcoins!",5
Produto muito bom entrega rápida e boa qualidade. Corta muito fácil recomendo.,5
Produtos da Samsung são os melhores.  Só tive problema com a entrega que demorou muito. O prazo estipulado não era comum.,4
"pedi o hoverboard dia 05/11/2017 e até hoje não chegou,liguei várias vezes,fui várias vezes nas loas americanas falar sobre este produto e nada, é só golpe,não comprem pois é possível não chegar no prazo como o meu,e pagar um alto preço no frete e não chegar,minha filha ficou sem presente de natal e muito decepcionada,espero que chegue pelo menos NESTE ANO já que em 2017 não chegou espero tê-lo em 2019 haha.",1
"Super aquisição, além de Lindo é eficiente!!! Recomendo",4
"Vendi minha moto para poder comprar o copo, comprei dois copos, foi o melhor investimento logo no começo de 2018, recomendo para quem está cagando dinheiro.",5
"Aparelho bom, e aprova d' água mas não funciona muito bem embaixo d' água o touch trava e volta ao normal ao sair da água. na foto parece prata mas ele  e realmente azul topázio muito bonito mas diferente da foto , câmera excelente, gostei do produto apesar de não achar ele melhor que o modelo moto x anterior.",4
"Vale a pena comprar, funciona parcialmente. Vale a pena comprar, funciona parcialmente.",4
"Avaliação péssima, já pedido o reembolso. Me venderam uma falsificação de 5ª categoria, empresa muito da sem vergonha em tentar um golpe como esse. Espero que me devolvam o dinheiro o quanto antes.",1
"As bolas são lindas, e o tamanho é ótimo para árvores de 1,5m! Recomendo!",5
"Gente, esse copo tá muito barato. Qualquer um pode comprar. Depois que eu comprei ele minha vida nunca mais foi a mesma.",5
"Gente,que oferta imperdivel! Vou logo adquirir dois.",5
"Simples de usar e facil de transportar, gostei bastante.  E chegou antes do prazo.",4
"Eu gostei do produto e também fiquei satisfeita com a entrega que ocorreu antes do prazo estipulado, só fiquei surpresa com o tamanho da moto, pois não tinha reparado na descrição do produto e confesso que achei que ela fosse maior. Enfim..",3
"estou insatisfeita, indignada e não voltarei a comprar das americanas....infelizmente estão terceirizando a venda de alguns produtos e o produto que comprei ainda não recebi.....faz mais de 30 dias da compra",1
maravilhoso o produto chegou antes do prazo com frete gratis,5
Faltou um manual de montagem físico.mas com muito custo dá para montar.,3
"So a entrega não chegou no prazo esperado, era para vir até dia 13/12/2017 e chegou no dia 15/12/2017.",5
"minha avaliação é ""bom"" , porem vem a mensagem "" o texto de análise é muito curto . então vamos encher linguiça rrrrrrrrrrrraaaaaaaaaaaaaaassssssssssdddddddddddddfffffffffffffggggggggggghhhhhhhhhhhhhhhhhh",5
"Ótimo para lugares onde não tem coifa, limpa e desengordura o ar do ambiente",5
"Estou tentando resolver o problema ,foi usado uma vez e até agora a Americanas não solucionou o problema vou ter que entrar na justiça  Decepcionada",1
"Na verdade, foi ótimo por 5 dias e de repente travou, sem desligar ou aceitar qq outro comando. Só voltou a funcionar depois que descarregou totalmente e daí sim aceitou nova carga. Infelizmente devolvi o produto.",1
Achei muito bom e satisfaz minha necessidade. E o custo benefício é ótimo.,5
"Aparelho prático, porém o manual de operação não é muito instrutivo",3
"Excelente, ótimo material. Bonita, atrativa para as crianças. Alcança a idade sugerida. Interativa para as crianças interagirem com os seus pais. Super Recomendo. Chegou rápido o produto e muito bem embalado. Amei!",4
"Muito barato, me surpreendi com o valor baixo desse copo. Só as americanas para fazer esse preço camarada. Melhor do mundo amei.. Com o frete então. Super recomendo S2",5
"A americanas decaiu muito. Demora a entregar, e quando está no limite do prazo de entrega cancela a compra. Sempre fui cliente da Americanas.com, mas ultimamente estou dando preferência a comprar na loja física, pois pelo menos você sai com o produto.",1
"o Produto é bem acabado, achei muito pequeno e frágil, já recebi com uma das gavetas com a tinta descascando, qualquer impacto acontece.",2
"ótimo produto, entrega antes do previsto, sempre compro por aqui e vou continuar comprando com vcs......",5
"A previsão de entrega deste produto era para 20/12/17, mas nunca ocorreu. Péssimo. Me enrolaram o quanto puderam e depois cancelaram o pedido e me deram um vale, o preço do produto subiu e eu fiquei sem poder comprar. Palhaçada. Nome do parceiro, KN Eletronicos.",1
Recomendo! Produto de acordo com o anunciado e entrega rápida e profissional!,4
"Um aparelho de excelente qualidade, superou munhas expectativas",4
"Meu produto ainda não foi entregue, esta beem atrasadoo!!!!!!!!!!!!!!",1
"Ótimo produto, entrega dentro do prazo, preço bom com parcelamento dentro da capacidade de pagamento.",5
"O custo benefício foi o melhor que encontrei , muito bom para mídias.",4
"console e jogos conforme o publicado, entrega antes do prazo previsto.",5
eu não recebi o produto ou seja esta trocado entrei em contato com a empresa QUE NÃO RESPONDE. Não recomendo a empresa e deixarei de comprar pelo site da americanas.,1
O prazo de entrega era até 19 de dezembro e nao veio ainda!,1
Aparelho de desempenho muito bom.. unico problema é que aquece demais !!,4
Aparelho entregue e funcionando conforme dados do fabricante!! Atendeu otimamente!,4
"Produto era o esperado, bom, resistente, achei que seria melhor.",3
Aparelho entregue e funcionando corretamente conforme esperado! Otimo equipamento!,4
"Infelizmente não tem como fazer avaliação do Produto porque até o momento, não foi entregue. Comprei o Produto junto com o celular, o mesmo enregue pela Americanas chegou desde 08/12, já a Capa e a Película até agora nada. Não tem como avaliar",1
"Comprei este produto porque ja tinha um de outra marca (ZENBAG) da qual gosto muito. Escolhi esta marca porque estava barato. Que erro! Mais dificil de encher do que o original e RASGOU no segundo dia de uso, foi pro lixo, muito frágil. NÃO COMPREM ESTE PRODUTO!!!!",1
"Asus Zenfone 2 Ze551ml 64gb Dual Prata Asus Zenfone 2 Ze551ml 64gb Dual Prata (11) 14 ofertas a partir de: R$ 787,21 10x de R$ 78,72 sem juros porque vcs anunciam esse perço qd na verdade e outro",4
"O produto é muito bom. Só que a americanas demora muito a enviar o pedido, uma semana pra sair. Mas depois que sai chega rápido.",4
"O celular muito bom.. Supriu a expectativa, chegou de acordo com A data prevista.comprarei novamente pelo site.",4
Porque estão anunciando vendas se não entregaram o que venderam antes ????  comprei inicio de dezembro e me informaram que não tem previsão de entrega. Tentei cancelar e não me responderam até agora. Sempre comprei das Americanas mas dessa vez pisaram na bola. Se alguem vai comprar pode sentar e esperar como eu.,1
"Recebi o produto com umas das lâminas quebrada, somente o liquidificador funcionou, tive muita dificuldade ao fazer a troca das lâminas, elas agarram muito no disco, podendo causar algum acidente (cortar a mão) durante esse processo.",1
"Muito bom, recebi em dia meu pedido. Tive apenas uma chateação com a transportadora mais foi resolvido.",3
Melhor preço nas Americanas. Impossivel trabalhar sem Office hoje em dia,5
"Muito bom, gostei da qualidade do papel, entrega rápida também. Obrigada!",4
"ÓTIMO PRODUTO, ENTREGA CONFORME COMBINADO. RECOMENDO...",5
Excelente barbeador. Atendeu as expectativas. Fácil manuseio.,5
Tem ouro na p@%& desse copo? Estão doidos? Conserta isso aí...,1
Gostei muito do produto Sempre compro na Americanas.com!!!,5
Gostei muito do produto porque atende as necessidades de uma familia grande e não apresenta problemas no uso a que se destina.,5
Super satisfeito com o produto e todas as condições periféricas!,5
Comprei por causa do tamanho da tela 10.1 polegadas para ler arquivos PDF. Também bacana para ler reportagens e artigos da internet. Pode cansar um puco devido ao peso maior que de um celular. Estou bem satisfeito.,4
"Entrega excelente bem antes do previsto, só que em um deles a pintura estava descascada... e com sinais de tinta escorrendo. Mas no mais gostei muito...",4
"Bom dia! Venho aqui fazer minha reclamação sobre o produto que comprei, o mesmo veio com muitas avarias, gostaria de trocar as peças e enviar as fotos para que vejam os defeitos. Como faço para trocar as peças com defeitos?  Fico no aguardo, Fabiane Ramos.",1
"Lindos e modernos, chegou no prazo!  Super recomendo",5
"Veio com a embalagem toda rasgada e a boneca pequena veio jogadas junto com uma das grandes, e a embalagem da pequena rasgada, uma vergonha, não recomendo",1
"O produto é de boa qualidade, porém veio faltando uma peça que impossibilita o carro virar para a direita ou para esquerda através do controle, permitindo apenas que o carro vá para frente e para trás. Além disso, a descrição do produto dizia que as portas abriam e o carro que recebi tem portas fixas. Já relatei o problema a loja e estou aguardando uma solução. Se eu receber a peça faço uma nova avaliação.",2
Produto bom entrega rápida gostei e recomendo se possível comprarei mais vezes com vocês.,3
Produto apresentou problema no primeiro dia de uso.,2
"Comprei de presente de natal para minha namorada, a previsão de entrega era para o dia 27, mas dia 20 já estava em minhas mãos. Ela ficou super satisfeita com o produto!",5
Rápido e eficiente! Me atendeu perfeitamente. Chegou no prazo.,5
"Atingiu minha expectativa , cumpre o que promete, nao e de dificil aplicacao e ja mostra resultado na primeira utilizacao.",5
"Fiquei satisfeita com o produto, porém o que  me desagradou foi a capa do livro não ser dura e as paginas parecerem jornal, por ser fina e asperosa.",3
Bom brinquedo. As crianças que gostam de massinha gostam.,3
muito bom mesmo é excelente valeu a pena dar esse presente para meu filho nota 10,5
Funcional e num preço justo. Recomendo!          Comprem sem medo!,5
"JÁ NO PRIMEIRO CARREGAMENTO DE PILHAS A LUZ QUEIMOU, ASSIM NÃO DA PARA VER SE ESTA FUNCIONAMENTO OU NÃO.",2
"Gostei do produto, e o mesmo foi entregue dentro do prazo.",3
"Pelo valor não dá pra exigir muito, mas a qualidade deixa bastante a desejar",2
"Excelente custo benefício, bateria dura muito. Único ponto que desabona o produto é a câmera saliente atrás, mesmo com capinha veio a trincar",5
Adoro comprar no site da Americanas. Sempre que preciso de alguma coisa sempre busco aqui.,4
Recebi meu pedido no prazo mas o cartucho preto 56 não funcionou.,1
"Gostei do produto, e o mesmo foi entregue dentro do prazo.",3
